abs_diff_of_means,data,conv1_1,relu1_1,conv1_2,relu1_2,pool1,conv2_1,relu2_1,conv2_2,relu2_2,pool2,conv3_1,relu3_1,conv3_2,relu3_2,conv3_3,relu3_3,pool3,conv4_1,relu4_1,conv4_2,relu4_2,conv4_3,relu4_3,pool4,conv5_1,relu5_1,conv5_2,relu5_2,conv5_3,relu5_3,pool5,fc6,relu6,fc7,relu7,fc8
Task 1,9.237709999,10.35179996,5.206851482,38.11280441,24.05698013,31.08000755,106.8707733,54.46935272,198.9705811,87.2811203,139.519989,242.5416107,104.4278946,276.098877,105.6876831,263.3988037,90.72506714,150.6630402,279.6780396,87.5437088,193.9451752,42.52390671,102.1702271,8.350369453,16.76028633,43.67189407,10.57827187,26.04955482,3.375010014,10.24947453,0.154599503,0.21563077,1.495599747,0.605982184,0.605198085,0.137491792,0.372617155
Task 2,23.29144096,18.89325905,9.43846035,67.21893311,43.76982117,57.54490662,195.8029785,98.10195923,340.3329163,150.068512,238.5980682,465.8173523,193.1997375,491.6928406,181.3499451,411.5776062,137.7091827,247.8520813,398.5218811,129.8426514,285.1031189,69.14590454,159.3208313,18.86054993,36.74352646,100.3175659,18.51989937,53.5799942,7.58208847,33.25649643,0.67805326,0.956413269,6.55995369,1.652183414,1.733650327,0.307553619,1.039310932
Task 3,40.06140518,27.51146889,13.72575665,95.24890137,63.46422577,82.47402954,268.3889465,132.8786926,445.3952637,194.9841003,310.8254089,622.4883423,260.2529907,652.7508545,233.2007294,527.1665039,167.6483612,301.9992676,444.7284851,140.4996338,296.2839966,73.25167084,164.3447723,18.16196823,34.91570282,91.51383972,18.48579407,46.90704727,7.326817036,29.16255188,0.630564213,0.909284949,4.582783699,1.455105186,1.479136467,0.251515418,0.664285243
Task 4,44.18896103,29.23231888,14.57934093,100.545105,67.45417023,88.27825165,290.1838074,144.8972015,480.9997864,211.4983215,339.0173645,703.6645508,294.3447876,740.505188,263.6572571,585.9217529,184.6485901,334.2496033,505.5680847,158.4148254,359.7662659,80.87337494,210.4795685,19.61803246,38.82572937,109.3480759,20.44660568,58.91064453,7.741752625,33.81509399,0.59020251,0.898284912,3.593176126,1.18434453,0.999890387,0.154471785,0.376020968
