abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
Task 1,9.218337059,30.78610229,15.3632803,29.91750908,6.256471157,15.6162281,4.416935921,9.999752045,7.076574802,14.40692806,3.821458578,10.04331207,2.707956553,11.38524723,0.769894361,1.346301794,4.2397995,1.157138586,1.659055948,0.158682913,0.590234876
Task 2,23.37162971,53.25833893,26.5107193,55.82479095,10.90102673,21.08918953,5.321718216,12.86614418,9.676945686,17.1310463,4.83762598,11.39890194,3.206562519,9.140921593,1.397392631,2.343530893,8.288848877,1.785837293,4.209946156,0.228009969,0.993973315
Task 3,40.02209091,72.24983215,36.0192337,83.29502869,16.32221031,28.12453461,6.520522594,16.02536964,12.40992641,22.10674667,6.524344921,14.78998661,4.218460083,13.00387859,1.579256535,2.5942173,8.089916229,1.87808764,5.376441956,0.228738874,1.03331399
Task 4,44.13833618,75.18286133,37.43812943,87.98977661,17.60306168,31.05775452,7.166707993,17.62459183,13.617342,25.23654556,7.691381454,17.91609192,5.015631199,16.40593338,1.851646066,3.037052393,10.16170979,2.415591955,6.820898533,0.306323409,1.349524975
