abs_diff_of_means,data,conv1,relu1,pool1,norm1,conv2,relu2,pool2,norm2,conv3,relu3,conv4,relu4,conv5,relu5,pool5,fc6,relu6,fc7,relu7,fc8
Task 1,64.81544495,44.33592987,21.13994026,45.6562233,14.60183716,41.1076889,9.945236206,16.5438652,12.51174927,23.4417305,6.430529594,14.34348488,3.659528732,9.936232567,0.766308367,1.489998341,4.529549122,1.276199102,1.562982321,0.270629644,1.077295423
Task 2,66.13458252,51.16071701,25.54500771,52.69168472,20.82165718,49.4822197,11.8888483,17.8392086,13.58743954,25.6898632,6.96190691,15.01969051,3.793843746,10.07613182,0.770729482,1.465452671,4.359723091,1.205636263,1.481846571,0.250945121,0.84520328
